,skipper,boat,lastName,
477,p j keenan,trankeylo,keenan,207
478,pj keenan,buena onda,keenan,207
479,pj keenan,conkeystador,keenan,207
480,pj keenan,usa 1145,keenan,207
481,alan kelly,playmaker,kelly,208
482,alan kelly,playmaker  (corinthian),kelly,208
483,paul kelsey,gbr 937,kelsey,209
484,womack ken,flying colors,ken,210
485,womack ken,NA,ken,210
486,charles kenahan,mahalo,kenahan,337
487,richard ketchum,can't believe its not butter,ketchum,338
488,tim keyworth,usa 1100,keyworth,339
489,keyworth,saz,keyworth,339
490,kgbkinney,kgb,kgbkinney,
491,kidd,double trouble,kidd,340
492,martin kiely,blue skies,kiely,341
493,martin kiely,blue skies  (corinthian),kiely,341
494,ben kinney,kgb,kinney,342
495,ben kinney,kgb  (corinthian),kinney,342
496,kinney,kgb,kinney,342
497,b kinney,kgb,kinney,342
498,gretchen kinsey,voo doo too !!!,kinsey,343
499,michael kiss,eclipse,kiss,344
500,"michael  kiss",eclipse,kiss,344
501,kerry klingler,usa 1260,klingler,345
502,"dirk  kneullman","cruel  jane",kneullman,211
503,dirk kneullman,cruel jane,kneullman,211
504,dirk kneulman,tiburon,kneulman,211
505,dirk  kneulman,tiburon,kneulman,211
506,kneulman,tiburon,kneulman,211
507,dirk kneulman,cruel jane,kneulman,211
508,kneulman,cruel jane,kneulman,211
509,paul koeller,extra spicey,koeller,212
510,john kolius,usa 1044,kolius,213
511,ed kriese,shades,kriese,214
512,ed kriese,volition,kriese,214
513,winkelmann kurt,1224,kurt,373
514,alex lacy,tinker,lacy,216
515,todd lalumiere,marge,lalumiere,217
516,todd lalumiere,indefinately,lalumiere,217
517,matt-todd lalumiere,indefinately,lalumiere,217
518,todd lalumiere,exception,lalumiere,217
519,todd lalumiere,usa 1103,lalumiere,217
520,todd lalumiere,indefinitely,lalumiere,217
521,todd lalumiere,black boat,lalumiere,217
522,todd lalumiere,usa 598,lalumiere,217
523,hank lammens,cool jane,lammens,218
524,hank lammons,cruel jane,lammons,218
525,jim lampman,usa 1300,lampman,219
526,christopher lanza,vertigo,lanza,72
527,christopher lanza,vertigo **,lanza,72
528,chris lanza,vertigo,lanza,72
529,chris lanza,vice,lanza,72
530,chris lanza,NA,lanza,72
531,chris larson,fresh guidance,larson,221
532,tim law,fresh guidance,law,222
533,luke lawrence,1225,lawrence,223
534,luke lawrence,usa 1185,lawrence,223
535,andrew lawson,no dramas,lawson,224
536,lorne leibel,cruel jane,leibel,225
537,allan leibel,rain,leibel,226
538,allan leibel,rain  (corinthian),leibel,226
539,tom lihan,1225,lihan,227
540,thomas lihan,1225,lihan,227
541,thomas lihan,usa 1225,lihan,227
542,tom lihan,usa 1225,lihan,227
543,lihan,usa 1225,lihan,227
544,tom lihan,matecumbe,lihan,227
545,stephen line,usa 1266,line,228
546,jeff linton,usa 1300,linton,229
547,jeffrey littell,usa 1229,littell,230
548,keith longson,wizard,longson,231
549,reed lorimer,usa youth team blue,lorimer,232
550,reed lorimer,usa youth team red,lorimer,232
551,phil lotz,arethusa,lotz,233
552,phul lotz,usa 1376,lotz,233
553,mark luckes,usa 575,luckes,234
554,mark luckes,perezoso,luckes,234
555,luckes,perezoso,luckes,234
556,byron marchant,e dec,marchant,235
557,byron marchant,esprit de corps,marchant,235
558,ben marden,leverage,marden,236
559,beckmann marvin,NA,marvin,237
560,anatole masfen,feng shui,masfen,238
561,matt,indefinately,matt,239
562,tam matthews,skanky jane,matthews,240
563,chester maudslay,gbr937,maudslay,241
564,bill mauk,somethind good,mauk,242
565,bill mauk,somethind good  (corinthian),mauk,242
566,bill mauk,something good,mauk,242
567,mauk,something good,mauk,242
568,bill mauk,rhumb line,mauk,242
569,donald maxwell,pyrate,maxwell,243
570,donald maxwell,"""the """"d""""""",maxwell,243
571,donald maxwell,"the ""d""",maxwell,243
572,donald maxwell,pirate,maxwell,243
