"","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper"
"48","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5971","Piana Cup (2018)","Butch Patterson / Christopher Pryce",47,45,41,48,48,NA,NA,NA,181,"Hat Trick","USA 1342",NA,NA,NA,"David Pryor  / Butch Patterson"
"49","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Michael Menninger / Ian Liberty / Jonny Goldsberry",1,3,3,NA,NA,NA,NA,NA,7,"TERRAPIN","USA 1228",NA,NA,NA,"Stephen Benjamin  / Michael Menninger / Ian Liberty"
"50","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Erik Shampain / Cy Thompson / Michael Buckley",4,5,4,NA,NA,NA,NA,NA,13,"Skanky Gene","USA 1464",NA,NA,NA,"Jay Cross  / Erik Shampain / Cy Thompson"
"51","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Luke Lawrence / Eric Lawrence",3,7,10,NA,NA,NA,NA,NA,20,"1225","USA 1225",NA,NA,NA,"Tom Lihan  / Luke Lawrence"
"52","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Will Felder / Brian Kamilar / Nikki Medley",12,6,7,NA,NA,NA,NA,NA,25,"Blackadder II","CAN 1451",NA,NA,NA,"Andrew Cumming  / Will Felder / Brian Kamilar"
"53","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Chris Larson / Noel Drennan",5,4,17,NA,NA,NA,NA,NA,26,"Goombay Smash","USA 1455",NA,NA,NA,"William Douglass  / Chris Larson"
"54","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Brian Hammersley / Andrew Mills",22,8,2,NA,NA,NA,NA,NA,32,"Swedish Blue","GBR 1438",NA,NA,NA,"Ante Razmilovic  / Brian Hammersley"
"55","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Evan Aras / Alec Anderson / Wilson Stout",10,11,12,NA,NA,NA,NA,NA,33,"Caramba","USA 1405",NA,NA,NA,"Jose Fuentes  / Evan Aras / Alec Anderson"
"56","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Steve Hunt / Mark Ivey / Serena Vilage",2,31,1,NA,NA,NA,NA,NA,34,"Lifted","USA 1408",NA,NA,NA,"Jim Cunningham  / Steve Hunt / Mark Ivey"
"57","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Ezra Culver / Karl Anderson",20,18,6,NA,NA,NA,NA,NA,44,"American Baby","USA 1394",NA,NA,NA,"George Francisco  / Ezra Culver"
"58","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Jon Easley / Glen Burton",7,33,5,NA,NA,NA,NA,NA,45,"Firing Line","USA 1398",NA,NA,NA,"Bruce Burton  / Jon Easley"
"59","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Austen Anderson / Lucas Calabrese / Diego Stefani",11,28,8,NA,NA,NA,NA,NA,47,"Rebel","USA 1419",NA,NA,NA,"Scott Kaufman  / Austen Anderson / Lucas Calabrese"
"60","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Skip Dieball / Morton Henriksen",21,10,16,NA,NA,NA,NA,NA,47,"Warcanoe","USA 1469",NA,NA,NA,"Michael Goldfarb  / Skip Dieball"
"61","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Ben Lamb / Andrew Palfrey",8,12,28,NA,NA,NA,NA,NA,48,"Oatmeal","USA 962",NA,NA,NA,"Peter Duncan  / Ben Lamb"
"62","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Dirk Knuelman / Mark Strube",19,1,30,NA,NA,NA,NA,NA,50,"Tiburon","BER 1467",NA,NA,NA,"Mark Watson  / Dirk Knuelman"
"63","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","David Vera / Finn Hill / Lara Poljsak",14,13,23,NA,NA,NA,NA,NA,50,"Tquila","SUI 1425",NA,NA,NA,"Luis Doreste  / David Vera / Finn Hill"
"64","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Randy Borges / Chris Snow / Taylor Borges",27,9,15,NA,NA,NA,NA,NA,51,"MB III","USA 1296",NA,NA,NA,"Jamie Hilton  / Randy Borges / Chris Snow"
"65","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Brad Boston / Curtis Florence / Nick Ford",9,22,20,NA,NA,NA,NA,NA,51,"La Tormenta","USA 1415",NA,NA,NA,"Shannon W Bush  / Brad Boston / Curtis Florence"
"66","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Ben Cooper / Neil Harrison",13,15,24,NA,NA,NA,NA,NA,52,"Highlife","GBR 1441",NA,NA,NA,"Peter Rogers  / Ben Cooper"
"67","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Bill Johns / Phil Trinter",15,25,13,NA,NA,NA,NA,NA,53,"Mahalaga","USA 1168",NA,NA,NA,"Peter Vessella  / Bill Johns"
"68","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Bill Hardesty / Pilar Calabrese / Lior Lavie",18,14,22,NA,NA,NA,NA,NA,54,"The Martian","USA 1378",NA,NA,NA,"Marvin Beckmann  / Bill Hardesty / Pilar Calabrese"
"69","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Graham Sunderland / Mark Lees / Hannah Peters",23,2,31,NA,NA,NA,NA,NA,56,"Strait Dealer USA","GBR 1468",NA,NA,NA,"David Franks  / Graham Sunderland / Mark Lees"
"70","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Adrian Oweles / Taylor Walker",6,26,32,NA,NA,NA,NA,NA,64,"USA 1424","USA 1424",NA,NA,NA,"Barry Parkin  / Adrian Oweles"
"71","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Watt Duffy / Dan Peckham",30,29,9,NA,NA,NA,NA,NA,68,"USA 1371","USA 1371",NA,NA,NA,"Ken Womack  / Watt Duffy"
"72","Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Bill Mauk / Raefel Melendez / Peter Foley",17,17,37,NA,NA,NA,NA,NA,71,"Something Good","USA 928",NA,NA,NA,"Ched Proctor  / Bill Mauk / Raefel Melendez"
