"","X1","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper","skipper_raw","lastName","id"
"3147",3147,NA,2006,"http://www.etchellsfleet20.org/results/2006/2006midwinters.htm","Miami Mid-Winters",NA,63,29,60,52,54,NA,37,42,337,"alliance","USA980","077",NA,56,"jack bernhardt","Jack Bernhardt","bernhardt",31
"3148",3148,NA,2006,"http://www.etchellsfleet20.org/results/2006/2006midwinters.htm","Miami Mid-Winters",NA,28,33,22,NA,69,69,69,69,359,"perezoso","USA1145","45",NA,58,"donald young","Donald Young/Colin Guthrie","young",379
"3149",3149,NA,2006,"http://www.etchellsfleet20.org/results/2006/2006midwinters.htm","Miami Mid-Winters",NA,47,NA,49,59,58,44,60,48,365,"esprit de corps","USA1080","32",NA,59,"byron marchant","Byron Marchant","marchant",235
"3150",3150,NA,2006,"http://www.etchellsfleet20.org/results/2006/2006midwinters.htm","Miami Mid-Winters",NA,54,57,46,55,56,NA,56,52,376,"brazen hussy","USA1103","22",NA,60,"ted jones","Ted Jones","jones",196
"3151",3151,NA,2006,"http://www.etchellsfleet20.org/results/2006/2006midwinters.htm","Miami Mid-Winters",NA,58,49,NA,57,53,51,50,59,377,"bondi","USA1001","1",NA,61,"donald maxwell","Donald Maxwell","maxwell",243
"3152",3152,NA,2006,"http://www.etchellsfleet20.org/results/2006/2006midwinters.htm","Miami Mid-Winters",NA,52,NA,45,69,69,56,49,55,395,"perezoso","USA575","75",NA,62,"mark luckes","Mark Luckes","luckes",234
"3153",3153,NA,2006,"http://www.etchellsfleet20.org/results/2006/2006midwinters.htm","Miami Mid-Winters",NA,49,61,NA,49,45,54,69,69,396,"make mine a double","USA819","19",NA,63,"ben capuco","Ben Capuco / Jeff Borland","capuco",60
"3154",3154,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,1,2,NA,2,7,NA,NA,NA,12,"gone","USA 280","56",NA,1,"bruce burton","Bruce Burton","burton",50
"3155",3155,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,6,NA,2,4,4,NA,NA,NA,16,"victory","USA 1055","43",NA,2,"buddy cribb","Buddy Cribb","cribb",82
"3156",3156,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,22,3,NA,5,2,NA,NA,NA,32,"sail #63","USA 63","28",NA,4,"jud smith","Jud Smith / Henry Frazer","smith",337
"3157",3157,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,2,11,NA,11,14,NA,NA,NA,38,"fresh guidance","USA 1265","9",NA,5,"tim law","Tim Law","law",222
"3158",3158,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,18,NA,3,21,1,NA,NA,NA,43,"dorado","USA 1070","24",NA,8,"phil garland","Phil Garland","garland",134
"3159",3159,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,7,17,1,18,NA,NA,NA,NA,43,"swedish blue","GBR 1148","22",NA,9,"ante razmilovic","Ante Razmilovic","razmilovic",306
"3160",3160,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,29,8,7,NA,6,NA,NA,NA,50,"no time iv","USA 1233","57",NA,10,"robbie doyle","Robbie Doyle","doyle",105
"3161",3161,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,8,4,15,NA,25,NA,NA,NA,52,"annie","USA 1238","38",NA,12,"gary gilbert","Gary Gilbert","gilbert",135
"3162",3162,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,19,6,NA,7,20,NA,NA,NA,52,"wiki wiki","USA 1169","35",NA,13,"tom hughes","Tom Hughes","hughes",183
"3163",3163,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,14,10,18,NA,11,NA,NA,NA,53,"lucky","USA 1178","7",NA,14,"bryon ehrhart","Bryon Ehrhart / Aaron Housten","ehrhart",111
"3164",3164,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,9,21,NA,17,8,NA,NA,NA,55,"hootchie kootchie","USA 1284","29",NA,15,"chuck poindexter","Chuck Poindexter","poindexter",297
"3165",3165,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,13,19,9,NA,15,NA,NA,NA,56,"champagne iii","USA 1259","51",NA,16,"john ulbrich","John Ulbrich","ulbrich",361
"3166",3166,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,15,NA,4,23,18,NA,NA,NA,60,"usa 1299","USA 1299","6",NA,18,"randy white","Randy White / Jerry Fulp","white",369
"3167",3167,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,21,18,NA,10,17,NA,NA,NA,66,"trojan horse","USA 1199","48",NA,19,"ian evans","Ian Evans","evans",115
"3168",3168,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,10,16,13,28,NA,NA,NA,NA,67,"trouble","USA 744","50",NA,20,"jeff bennert","Jeff Bennert","bennert",30
"3169",3169,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,4,12,29,26,NA,NA,NA,NA,71,"ninkasi","USA 1126","3",NA,21,"rick kaiser","Rick Kaiser","kaiser",203
"3170",3170,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,12,29,NA,12,22,NA,NA,NA,75,"wizard","USA 1303","11",NA,22,"keith longson","Keith Longson","longson",231
"3171",3171,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,3,NA,26,13,36,NA,NA,NA,78,"mr. wilson","USA 1207","2",NA,23,"tracy brand","Tracy Brand / Jeff Padnos","brand",38
"3172",3172,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,11,NA,11,31,26,NA,NA,NA,79,"rhumb line","USA 928","33",NA,24,"bill mauk","Bill Mauk / Tito Gonzalez","mauk",242
"3173",3173,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,5,22,12,NA,42,NA,NA,NA,81,"usa 1229","USA 1229","19",NA,25,"jerry thomason","Jerry Thomason","thomason",353
"3174",3174,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,25,27,NA,15,21,NA,NA,NA,88,"carina","USA 1212","12",NA,27,"jonathan nye","Jonathan Nye","nye",201
"3175",3175,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,20,NA,40,6,23,NA,NA,NA,89,"wicked one","GBR 1305","20",NA,28,"roger wickens","Roger Wickens","wickens",370
"3176",3176,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,27,20,16,37,NA,NA,NA,NA,100,"cool bean","USA 1171","1",NA,30,"j.d. stone","J.D. Stone","stone",346
"3177",3177,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,16,NA,19,33,33,NA,NA,NA,101,"pied piper","USA 1261","61",NA,31,"tom piper","Tom Piper","piper",293
"3178",3178,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,40,36,23,NA,10,NA,NA,NA,109,"bushfire","GBR 1148","25",NA,33,"jervis tilly","Jervis Tilly","tilly",358
"3179",3179,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,42,43,NA,34,3,NA,NA,NA,122,"usa 1012","USA 1012","10",NA,40,"charles baker","Charles Baker","baker",19
"3180",3180,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,28,25,31,40,NA,NA,NA,NA,124,"voodoo","USA 1166","55",NA,41,"richard grunsten","Richard Grunsten / Gavin Flinn","grunsten",150
"3181",3181,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,26,45,NA,20,34,NA,NA,NA,125,"b/witchcraft","USA 1061","13",NA,42,"patricia stadel","Patricia Stadel","stadel",288
"3182",3182,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,34,40,17,NA,44,NA,NA,NA,135,"wallinator","USA 1016","44",NA,43,"nathan ballard","Nathan Ballard / Walter O'Sullivan","ballard",20
"3183",3183,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,24,46,36,35,NA,NA,NA,NA,141,"usa 1100","USA 1100","59",NA,44,"tim keyworth","Tim Keyworth","keyworth",339
"3184",3184,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,41,38,38,NA,41,NA,NA,NA,158,"dirty laundry","USA 1076","62",NA,46,"rusty bodden & tim yourieff","Rusty Bodden & Tim Yourieff","yourieff",380
"3185",3185,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,30,47,NA,46,39,NA,NA,NA,162,"usa 800","USA 800","58",NA,47,"stuart bruce","Stuart Bruce","bruce",43
"3186",3186,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005piana.htm","Piana Cup (2004)",NA,37,NA,42,41,47,NA,NA,NA,167,"stern to","USA 1280","17",NA,48,"robert schleshinger","Robert Schleshinger","schleshinger",320
"3187",3187,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,3,5,NA,10,4,NA,NA,NA,22,"annie","USA 1238","38",NA,2,"gary gilbert","Gary Gilbert","gilbert",135
"3188",3188,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,14,6,NA,1,5,NA,NA,NA,26,"usa 63","USA 63","28",NA,3,"jud smith","Jud Smith / Henry Frazer","smith",337
"3189",3189,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,8,4,NA,12,3,NA,NA,NA,27,"swedish blue","GBR 1148","22",NA,4,"ante razmilovic","Ante Razmilovic","razmilovic",306
"3190",3190,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,1,15,2,NA,11,NA,NA,NA,29,"fresh guidance","USA 1265","9",NA,5,"cameron appleton","Cameron Appleton","appleton",14
"3191",3191,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,8,2,24,NA,14,NA,NA,NA,48,"cool bean","USA 1171","1",NA,7,"j.d. stone","J.D. Stone","stone",346
"3192",3192,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,12,12,17,8,NA,NA,NA,NA,49,"usa 1296","USA 1296","54",NA,8,"jeffrey siegal","Jeffrey Siegal","siegal",331
"3193",3193,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,4,NA,7,29,10,NA,NA,NA,50,"bushfire","GBR 1250","25",NA,9,"jervis tilly","Jervis Tilly","tilly",358
"3194",3194,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,15,NA,1,22,18,NA,NA,NA,56,"dorado","USA 1070","24",NA,12,"phil garland","Phil Garland","garland",134
"3195",3195,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,25,NA,9,4,23,NA,NA,NA,61,"fathom this - 2702","USA 1225","60",NA,13,"robert bell","Robert Bell","bell",28
"3196",3196,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,7,NA,16,23,17,NA,NA,NA,63,"trojan horse","USA 1199","48",NA,14,"ian evans","Ian Evans","evans",115
"3197",3197,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,27,NA,25,6,6,NA,NA,NA,64,"revival","USA 1304","16",NA,15,"ralph hertz","Ralph Hertz","hertz",165
"3198",3198,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,22,NA,14,17,16,NA,NA,NA,69,"cool jane","CAN 1310","31",NA,16,"hank lammens","Hank Lammens","lammens",218
"3199",3199,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,2,7,20,NA,44,NA,NA,NA,73,"wiki wiki","USA 1169","35",NA,17,"tom hughes","Tom Hughes","hughes",183
"3200",3200,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,24,11,NA,30,9,NA,NA,NA,74,"pied piper","USA 1261","61",NA,18,"tom piper","Tom Piper","piper",293
"3201",3201,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,10,27,19,NA,21,NA,NA,NA,77,"chemical imbalance","USA 1105","18",NA,19,"robert hitchcock","Robert Hitchcock","hitchcock",168
"3202",3202,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,44,14,18,2,NA,NA,NA,NA,78,"patriot games","GBR 1195","36",NA,20,"jack mccarthy","Jack McCarthy / Paul Blowers","mccarthy",245
"3203",3203,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,35,13,4,NA,29,NA,NA,NA,81,"gone","USA 280","56",NA,21,"bruce burton","Bruce Burton","burton",50
"3204",3204,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,26,25,3,NA,32,NA,NA,NA,86,"mischief","USA 1069","49",NA,22,"betsy altman","Betsy Altman","altman",7
"3205",3205,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,19,16,27,NA,30,NA,NA,NA,92,"mr. wilson","USA 1207","2",NA,23,"tracy brand","Tracy Brand / Jeff Padnos","brand",38
"3206",3206,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,16,NA,8,38,31,NA,NA,NA,93,"lucky","USA 1178","7",NA,24,"bryon ehrhart","Bryon Ehrhart / Aaron Housten","ehrhart",111
"3207",3207,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,32,NA,10,39,12,NA,NA,NA,93,"ninkasi","USA 1126","3",NA,25,"rick kaiser","Rick Kaiser","kaiser",203
"3208",3208,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,23,38,NA,19,19,NA,NA,NA,99,"riva","USA 1221","53",NA,27,"wade edwards","Wade Edwards","edwards",110
"3209",3209,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,40,NA,22,24,15,NA,NA,NA,101,"hootchie kootchie","USA 1284","29",NA,28,"chuck poindexter","Chuck Poindexter","poindexter",297
"3210",3210,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,5,30,NA,35,33,NA,NA,NA,103,"champagne iii","USA 1259","51",NA,29,"john ulbrich","John Ulbrich","ulbrich",361
"3211",3211,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,21,8,39,NA,35,NA,NA,NA,103,"usa 1012","USA 1012","10",NA,30,"charles baker","Charles Baker","baker",19
"3212",3212,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,20,21,NA,13,50,NA,NA,NA,104,"la tormenta","USA 1137","66",NA,31,"shannon bush","Shannon Bush","bush",53
"3213",3213,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,17,18,NA,26,45,NA,NA,NA,106,"tithonus","USA 1209","26",NA,32,"dave smalley","Dave Smalley / Gary Corwin","smalley",335
"3214",3214,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,6,NA,38,20,43,NA,NA,NA,107,"tbd","USA 1306","47",NA,33,"john jansheski","John Jansheski","jansheski",187
"3215",3215,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,30,33,32,NA,13,NA,NA,NA,108,"usa 1094","USA 1094","30",NA,34,"henry spingler","Henry Spingler","spingler",339
"3216",3216,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,11,NA,33,37,28,NA,NA,NA,109,"leading edge","USA 1090","63",NA,35,"jeff dever","Jeff Dever","dever",97
"3217",3217,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,28,NA,21,21,40,NA,NA,NA,110,"rhumb line","USA 928","33",NA,36,"bill mauk","Bill Mauk / Tito Gonzalez","mauk",242
"3218",3218,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,34,35,34,NA,8,NA,NA,NA,111,"b/witchcraft","USA 1061","13",NA,37,"patricia stadel","Patricia Stadel","stadel",288
"3219",3219,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,9,20,NA,56,27,NA,NA,NA,112,"usa 980","USA 980","34",NA,38,"frank atkinson","Frank Atkinson","atkinson",16
"3220",3220,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,29,22,11,50,NA,NA,NA,NA,112,"wizard","USA 1303","11",NA,39,"keith longson","Keith Longson","longson",231
"3221",3221,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,36,26,29,NA,34,NA,NA,NA,125,"usa 1185","USA 1185","45",NA,42,"robert allardice","Robert Allardice","allardice",5
"3222",3222,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,48,43,28,7,NA,NA,NA,NA,126,"ten zero one","USA 1001","23",NA,43,"bill fortenberry","Bill Fortenberry","fortenberry",125
"3223",3223,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,45,29,NA,5,48,NA,NA,NA,127,"pipe dream 12","USA 1202","42",NA,44,"scott piper","Scott Piper","piper",293
"3224",3224,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,18,36,37,NA,36,NA,NA,NA,127,"carina","USA 1212","12",NA,45,"jonathan nye","Jonathan Nye","nye",201
"3225",3225,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,37,23,36,NA,42,NA,NA,NA,138,"dirty laundry","USA 1076","62",NA,46,"rusty bodden & tim yourieff","Rusty Bodden & Tim Yourieff","yourieff",380
"3226",3226,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,13,40,NA,48,48,NA,NA,NA,149,"perezoso","USA 1145","41",NA,48,"jeff nehms","Jeff Nehms","nehms",276
"3227",3227,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,31,39,35,NA,47,NA,NA,NA,152,"usa 1229","USA 1229","19",NA,49,"thompson","J. Thompson / J. Littel","thompson",353
"3228",3228,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,39,52,52,46,NA,NA,NA,NA,189,"stern to","USA 1280","17",NA,54,"robert schleshinger","Robert Schleshinger","schleshinger",320
"3229",3229,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005doren.htm","Sid Doren Memorial",NA,41,53,53,44,NA,NA,NA,NA,191,"usa 1224","USA 1224","21",NA,55,"kurt winkelmann","Kurt Winkelmann","winkelmann",373
"3230",3230,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,7,9,7,3,NA,NA,NA,NA,26,"usa 1262","USA 1262","70",NA,1,"vince brun","Vince Brun","brun",44
"3231",3231,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,1,1,8,17,NA,NA,NA,NA,27,"usa 62","USA 62","28",NA,2,"jud smith","Jud Smith / Henry Frazer","smith",337
"3232",3232,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,5,2,1,20,NA,NA,NA,NA,28,"fathom this - 2702","USA 1225","60",NA,3,"robert bell","Robert Bell","bell",28
"3233",3233,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,4,8,3,14,NA,NA,NA,NA,29,"pegasus","USA 1226","67",NA,4,"bill hardesty","Bill Hardesty/Philippe Kahn","hardesty",156
"3234",3234,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,20,5,2,12,NA,NA,NA,NA,39,"swedish blue","GBR 1148","22",NA,5,"ante razmilovic","Ante Razmilovic","razmilovic",306
"3235",3235,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,6,4,29,6,NA,NA,NA,NA,45,"fresh guidance","USA 1265","9",NA,6,"noel drennan","Noel Drennan","drennan",107
"3236",3236,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,3,19,5,19,NA,NA,NA,NA,46,"dorado","USA 1070","24",NA,7,"phil garland","Phil Garland","garland",134
"3237",3237,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,16,13,16,10,NA,NA,NA,NA,55,"usa 1296","USA 1296","54",NA,8,"jeffrey siegal","Jeffrey Siegal","siegal",331
"3238",3238,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,9,10,12,30,NA,NA,NA,NA,61,"cool jane","CAN 1310","31",NA,9,"hank lammens","Hank Lammens","lammens",218
"3239",3239,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,28,21,4,16,NA,NA,NA,NA,69,"wicked one","GBR 1305","20",NA,10,"roger wickens","Roger Wickens","wickens",370
"3240",3240,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,22,31,18,1,NA,NA,NA,NA,72,"bushfire","GBR 1250","25",NA,11,"jervis tilly","Jervis Tilly","tilly",358
"3241",3241,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,11,33,13,21,NA,NA,NA,NA,78,"rhumb line","USA 928","33",NA,12,"bill mauk","Bill Mauk / Tito Gonzalez","mauk",242
"3242",3242,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,2,3,22,54,NA,NA,NA,NA,81,"cruel jane","CAN 1298","32",NA,13,"dirk kneulman","Dirk Kneulman","kneulman",211
"3243",3243,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,15,15,11,48,NA,NA,NA,NA,89,"mr. snatch","USA 1266","64",NA,14,"peter duncan","Peter Duncan","duncan",109
"3244",3244,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,13,18,30,32,NA,NA,NA,NA,93,"chemical imbalance","USA 1105","18",NA,15,"robert hitchcock","Robert Hitchcock","hitchcock",168
"3245",3245,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,19,32,35,8,NA,NA,NA,NA,94,"flying colors","USA 1241","52",NA,16,"ken womack","Ken Womack","womack",374
"3246",3246,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,10,37,9,39,NA,NA,NA,NA,95,"ec 1279","USA 1279","68",NA,17,"russ silvestrie","Russ Silvestrie","silvestrie",332
"3247",3247,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,17,27,25,26,NA,NA,NA,NA,95,"la tormenta","USA 1137","66",NA,18,"shannon bush","Shannon Bush","bush",53
"3248",3248,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,8,6,46,37,NA,NA,NA,NA,97,"enda lima shamba","GBR 1252","39",NA,19,"nils razmilovic","Nils Razmilovic","razmilovic",306
"3249",3249,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,14,41,33,11,NA,NA,NA,NA,99,"usa 1299","USA 1299","6",NA,20,"randy white","Randy White / Jerry Fulp","white",369
"3250",3250,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,27,21,15,38,NA,NA,NA,NA,101,"ninkasi","USA 1126","3",NA,21,"rick kaiser","Rick Kaiser","kaiser",203
"3251",3251,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,29,24,20,29,NA,NA,NA,NA,102,"usa 1306","USA 1306","47",NA,22,"john jansheski","John Jansheski","jansheski",187
"3252",3252,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,48,22,26,7,NA,NA,NA,NA,103,"leading edge","USA 1090","63",NA,23,"jeff dever","Jeff Dever","dever",97
"3253",3253,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,18,39,23,25,NA,NA,NA,NA,105,"mr. wilson","USA 1207","2",NA,24,"tracy brand","Tracy Brand / Jeff Padnos","brand",38
"3254",3254,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,33,16,14,44,NA,NA,NA,NA,107,"riva","USA 1221","53",NA,25,"wade edwards","Wade Edwards","edwards",110
"3255",3255,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,44,12,39,13,NA,NA,NA,NA,108,"trojan horse","USA 1199","48",NA,26,"ian evans","Ian Evans","evans",115
"3256",3256,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,37,14,37,24,NA,NA,NA,NA,112,"usa 1012","USA 1012","10",NA,27,"charles baker","Charles Baker","baker",19
"3257",3257,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,34,7,31,43,NA,NA,NA,NA,115,"no time iv","USA 1233","57",NA,28,"robbie doyle","Robbie Doyle","doyle",105
"3258",3258,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,41,11,21,42,NA,NA,NA,NA,115,"wiki wiki","USA 1169","35",NA,29,"tom hughes","Tom Hughes","hughes",183
"3259",3259,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,12,17,54,33,NA,NA,NA,NA,116,"victory","USA 1309","43",NA,30,"buddy cribb","Buddy Cribb","cribb",82
"3260",3260,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,38,34,48,4,NA,NA,NA,NA,124,"gone","USA 280","56",NA,31,"glenn & bruce burton","Glenn & Bruce Burton","burton",50
"3261",3261,NA,2005,"http://www.etchellsfleet20.org/results/2005/2005flstate.htm","Florida State Championship",NA,31,29,19,45,NA,NA,NA,NA,124,"gbr 1075","GBR 1075","59",NA,32,"cordelia ellis","Cordelia Ellis","ellis",114
