"","X1","yacht design","year","url","name","crew","r1","r2","r3","r4","r5","r6","r7","r8","total","boat","sail","bow","club","place","skipper","skipper_raw","lastName","id"
"61",61,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Ben Lamb / Andrew Palfrey",8,12,28,NA,NA,NA,NA,NA,48,"oatmeal","USA 962",NA,NA,NA,"peter duncan","Peter Duncan  / Ben Lamb","duncan",109
"62",62,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Dirk Knuelman / Mark Strube",19,1,30,NA,NA,NA,NA,NA,50,"tiburon","BER 1467",NA,NA,NA,"mark watson","Mark Watson  / Dirk Knuelman","watson",364
"63",63,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","David Vera / Finn Hill / Lara Poljsak",14,13,23,NA,NA,NA,NA,NA,50,"tquila","SUI 1425",NA,NA,NA,"luis doreste","Luis Doreste  / David Vera / Finn Hill","doreste",102
"64",64,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Randy Borges / Chris Snow / Taylor Borges",27,9,15,NA,NA,NA,NA,NA,51,"mb iii","USA 1296",NA,NA,NA,"jamie hilton","Jamie Hilton  / Randy Borges / Chris Snow","hilton",166
"65",65,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Brad Boston / Curtis Florence / Nick Ford",9,22,20,NA,NA,NA,NA,NA,51,"la tormenta","USA 1415",NA,NA,NA,"shannon w bush","Shannon W Bush  / Brad Boston / Curtis Florence","bush",53
"66",66,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Ben Cooper / Neil Harrison",13,15,24,NA,NA,NA,NA,NA,52,"highlife","GBR 1441",NA,NA,NA,"peter rogers","Peter Rogers  / Ben Cooper","rogers",314
"67",67,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Bill Johns / Phil Trinter",15,25,13,NA,NA,NA,NA,NA,53,"mahalaga","USA 1168",NA,NA,NA,"peter vessella","Peter Vessella  / Bill Johns","vessella",363
"68",68,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Bill Hardesty / Pilar Calabrese / Lior Lavie",18,14,22,NA,NA,NA,NA,NA,54,"the martian","USA 1378",NA,NA,NA,"marvin beckmann","Marvin Beckmann  / Bill Hardesty / Pilar Calabrese","beckmann",237
"69",69,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Graham Sunderland / Mark Lees / Hannah Peters",23,2,31,NA,NA,NA,NA,NA,56,"strait dealer usa","GBR 1468",NA,NA,NA,"david franks","David Franks  / Graham Sunderland / Mark Lees","franks",128
"70",70,"Etchells",2019,"https://yachtscoring.com/event_results_cumulative.cfm?eID=5972","Sid Doren Memorial","Adrian Oweles / Taylor Walker",6,26,32,NA,NA,NA,NA,NA,64,"usa 1424","USA 1424",NA,NA,NA,"barry parkin","Barry Parkin  / Adrian Oweles","parkin",287
