"","bow","sail number","yacht name","yacht design","skipper/crew","race1","race2","race3","race4","race5","to","total","year","url","name","race6","race7","race8","owner/skipper","place","#","other #","boat name","owner","race 1","race 2","race 3","race 4","race 5","race 6","bow #","sail #","race 7","pos","bow/sail","boat","skipper","1","2","3","4","totalpoints","race 8","sail#","bow#","r1","r2","r3","r4","r5","r6","throwouttotal pts","crew","club","5","6","7","8","race 1 pts","race 2 pts","total points","pts","from","ttl","pl.","total
points","total
 points","throwout total pts","r 1","r 2","r 3","r 4","r 5","r 6","r 7","r 8"
"266","41","GBR 1441","Highlife","Etchells","Shawn Frohlich  / Ben Cooper / Neil Harrison","14","30","18","33","28","[33]","90.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","73","USA 1373","Victory","Etchells","Buddy Cribb  / Eammon DeLisser / Henry Chau","22","38","27","34","14","[38]","97.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","90","USA 1090","Leading Edge","Etchells","Jeff Dever  / Anson Mulder / Roger Cheer","29","24","30","35","17","[35]","100.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","38","GBR 1438","Swedish Blue","Etchells","Ante Razmilovic  / John Gimson / Andrew Palfrey","48/UFD","19","22","24","35","[48]","100.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","93","CAN 993","Southern Etchells","Etchells","Jerry Wendt  / Andrew Rogers / Andrew Macrae","31","35","29","30","11","[35]","101.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","82","USA 1282","Athena","Etchells","John Donnelly  / Chris Clark / Paul Abdullah","34","37","33","17","21","[37]","105.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","42","CAN 1426","Press Gang","Etchells","Roland van Hazel  / Geoff Moore / Jim Porter","24","32","47/DSQ","26","34","[47]","116.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","17","GBR 1417","China Wight","Etchells","Nicholas Stagg  / Rob Goddard / Ollie-Spencer Corfield","48/UFD","25","36","36","27","[48]","124.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","26","USA 1126","Ninkasi","Etchells","Rick Kaiser  / Gerri Whitley / Mary Bruecker / Elizabeth Grahm","35","34","34","37","32","[37]","135.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","92","USA 928","Somethind Good","Etchells","Bill Mauk  / Rafael Melanez / Bill Johns / Nick Morrell","28","23","48/RET","48/DNS","48/DNS","[48]","147.0","2018","https://www.yachtscoring.com/event_results_cumulative.cfm?eID=4367","Piana Cup (2017)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
