"","regatta_id","day","raceID","competitorID","competitorName","score","place"
"180",15,2018-09-29,0,"Middlebury College","Middlebury College",375,19
"181",15,2018-09-29,0,"Northeastern University","Northeastern University",232,9
"182",15,2018-09-29,0,"Roger Williams University","Roger Williams University",156,3
"183",15,2018-09-29,0,"Salve Regina University","Salve Regina University",261,12
"184",15,2018-09-29,0,"Tufts University","Tufts University",114,1
"185",15,2018-09-29,0,"University of Massachusetts at Amherst","University of Massachusetts at Amherst",504,20
"186",15,2018-09-29,0,"University of Rhode Island","University of Rhode Island",286,13
"187",15,2018-09-29,0,"University of Vermont","University of Vermont",159,4
"188",15,2018-09-29,0,"Yale University","Yale University",254,11
"189",16,2018-09-29,0,"Bates College","Bates College",71,5
"190",16,2018-09-29,0,"Massachusetts Maritime Academy","Massachusetts Maritime Academy",72,7
"191",16,2018-09-29,0,"McGill University","McGill University",74,8
"192",16,2018-09-29,0,"Middlebury College","Middlebury College",115,10
"193",16,2018-09-29,0,"Northeastern University","Northeastern University",61,4
"194",16,2018-09-29,0,"Sacred Heart University","Sacred Heart University",95,9
"195",16,2018-09-29,0,"Salve Regina University","Salve Regina University",33,2
"196",16,2018-09-29,0,"Tufts University","Tufts University",34,3
"197",16,2018-09-29,0,"University of Connecticut","University of Connecticut",196,12
"198",16,2018-09-29,0,"University of Massachusetts at Amherst","University of Massachusetts at Amherst",156,11
"199",16,2018-09-29,0,"University of Vermont","University of Vermont",31,1
"200",17,2018-10-06,0,"Bowdoin College","Bowdoin College",202,4
"201",17,2018-10-06,0,"Brown University","Brown University",182,1
"202",17,2018-10-06,0,"Dartmouth College","Dartmouth College",259,8
"203",17,2018-10-06,0,"Massachusetts Institute of Technology","Massachusetts Institute of Technology",200,3
"204",17,2018-10-06,0,"Northeastern University","Northeastern University",405,14
"205",17,2018-10-06,0,"Tufts University","Tufts University",215,6
"206",17,2018-10-06,0,"U. S. Coast Guard Academy","U. S. Coast Guard Academy",271,9
"207",18,2018-10-06,0,"Boston College","Boston College",164,8
"208",18,2018-10-06,0,"Boston University","Boston University",157,7
"209",18,2018-10-06,0,"Connecticut College","Connecticut College",188,11
"210",18,2018-10-06,0,"Harvard University","Harvard University",145,4
"211",18,2018-10-06,0,"Massachusetts Maritime Academy","Massachusetts Maritime Academy",265,16
"212",18,2018-10-06,0,"Roger Williams University","Roger Williams University",138,3
"213",18,2018-10-06,0,"University of Rhode Island","University of Rhode Island",179,10
"214",18,2018-10-06,0,"University of Vermont","University of Vermont",239,15
"215",18,2018-10-06,0,"Yale University","Yale University",87,1
"216",19,2018-10-06,0,"Boston College","Boston College",92,1
"217",19,2018-10-06,0,"Boston University","Boston University",200,12
"218",19,2018-10-06,0,"Bowdoin College","Bowdoin College",159,6
"219",19,2018-10-06,0,"Brown University","Brown University",102,2
"220",19,2018-10-06,0,"Connecticut College","Connecticut College",173,10
"221",19,2018-10-06,0,"Harvard University","Harvard University",127,4
"222",19,2018-10-06,0,"McGill University","McGill University",316,17
"223",19,2018-10-06,0,"Northeastern University","Northeastern University",236,14
"224",19,2018-10-06,0,"Roger Williams University","Roger Williams University",145,5
"225",19,2018-10-06,0,"Salve Regina University","Salve Regina University",161,7
"226",19,2018-10-06,0,"Tufts University","Tufts University",172,9
"227",19,2018-10-06,0,"University of Rhode Island","University of Rhode Island",161,8
"228",19,2018-10-06,0,"University of Vermont","University of Vermont",119,3
"229",19,2018-10-06,0,"Wesleyan University","Wesleyan University",345,18
"230",19,2018-10-06,0,"Yale University","Yale University",252,15
"231",20,2018-10-06,0,"Bates College","Bates College",164,9
"232",20,2018-10-06,0,"Brown University","Brown University",50,3
"233",20,2018-10-06,0,"Massachusetts Maritime Academy","Massachusetts Maritime Academy",73,5
"234",20,2018-10-06,0,"Salve Regina University","Salve Regina University",38,1
"235",20,2018-10-06,0,"Tufts University","Tufts University",47,2
"236",20,2018-10-06,0,"University of Massachusetts at Dartmouth","University of Massachusetts at Dartmouth",115,7
"237",20,2018-10-06,0,"University of Vermont","University of Vermont",176,10
